Wavelength (nm),,Transmittance,,Reflectance
598,,0.754976447,,0.245023344
599,,0.753553545,,0.246446256
600,,0.752953293,,0.247046516
601,,0.753472097,,0.24652772
602,,0.755381961,,0.244617863
603,,0.75891709,,0.241082741
604,,0.764263315,,0.235736523
605,,0.771549224,,0.228450619
606,,0.78083804,,0.219161808
607,,0.792119485,,0.207880368
608,,0.80530129,,0.194698567
609,,0.820200824,,0.179799037
610,,0.83653817,,0.163461695
611,,0.853932731,,0.146067138
612,,0.871905777,,0.128094096
613,,0.88989248,,0.110107396
614,,0.90726589,,0.092733989
615,,0.92337337,,0.076626513
616,,0.937584177,,0.062415711
617,,0.94934323,,0.050656661
618,,0.958223185,,0.041776711
619,,0.963966109,,0.036033791
620,,0.966506851,,0.033493053
621,,0.965973344,,0.034026564
622,,0.962664093,,0.037335819
623,,0.957007729,,0.042992187
624,,0.949512286,,0.050487634
625,,0.940712759,,0.059287164
626,,0.931124111,,0.068875816
627,,0.921203918,,0.078796011
628,,0.911326628,,0.088673304
629,,0.901768834,,0.098231101
630,,0.89270372,,0.107296217
631,,0.884202618,,0.115797321
632,,0.876241836,,0.123758104
633,,0.868713444,,0.131286498
634,,0.861439494,,0.13856045
635,,0.854189297,,0.145810649
636,,0.846699538,,0.153300408
637,,0.838696969,,0.161302979
638,,0.829922674,,0.170077276
639,,0.82015625,,0.179843701
640,,0.809237831,,0.190762121
641,,0.797085428,,0.202914527
642,,0.783705294,,0.216294662
643,,0.769193862,,0.230806096
644,,0.75373105,,0.24626891
645,,0.737566032,,0.262433929
646,,0.720997769,,0.279002194
647,,0.704353303,,0.295646662
648,,0.68796678,,0.312033186
649,,0.672161308,,0.32783866
650,,0.657235262,,0.342764707
651,,0.643453578,,0.356546393
652,,0.631043541,,0.368956431
653,,0.620194467,,0.379805506
654,,0.61106024,,0.388939734
655,,0.603763501,,0.396236475
656,,0.598400581,,0.401599395
657,,0.595046338,,0.40495364
658,,0.59375844,,0.406241538
659,,0.594580778,,0.4054192
660,,0.597545602,,0.402454378
661,,0.602674301,,0.397325679
662,,0.609976653,,0.390023328
663,,0.619448399,,0.380551583
664,,0.63106735,,0.368932632
665,,0.644787987,,0.355211995
666,,0.660534817,,0.339465166
667,,0.67819455,,0.321805433
668,,0.697607719,,0.302392265
669,,0.718560904,,0.28143908
670,,0.740780357,,0.259219628
671,,0.763928278,,0.236071706
672,,0.787604051,,0.212395934
673,,0.811350842,,0.188649143
674,,0.834668167,,0.165331819
675,,0.857031029,,0.142968957
676,,0.877914092,,0.122085895
677,,0.896818228,,0.103181759
678,,0.913296643,,0.086703345
679,,0.926976042,,0.073023946
680,,0.937569531,,0.062430458
681,,0.944879382,,0.055120607
682,,0.948789243,,0.051210747
683,,0.94924781,,0.05075218
684,,0.946247622,,0.053752369
685,,0.939802879,,0.060197112
686,,0.929930673,,0.070069318
687,,0.916639412,,0.08336058
688,,0.899926765,,0.100073226
689,,0.879788198,,0.120211794
690,,0.856235549,,0.143764444
691,,0.829322991,,0.170677002
692,,0.799175469,,0.200824524
693,,0.766014889,,0.233985104
694,,0.730177896,,0.269822097
695,,0.692119537,,0.307880456
696,,0.652400759,,0.347599234
697,,0.611659946,,0.388340048
698,,0.57057185,,0.429428144
699,,0.529802248,,0.470197746
700,,0.489965055,,0.51003494
701,,0.451587833,,0.548412162
702,,0.415090405,,0.58490959
703,,0.380776846,,0.619223149
704,,0.34883835,,0.651161645
705,,0.319364856,,0.68063514
706,,0.292361749,,0.707638248
707,,0.267768429,,0.732231567
708,,0.245476406,,0.754523591
709,,0.225345346,,0.774654651
710,,0.207216472,,0.792783525
711,,0.190923005,,0.809076993
712,,0.176297923,,0.823702075
713,,0.16317938,,0.836820618
714,,0.15141422,,0.848585778
715,,0.140860022,,0.859139976
716,,0.131386125,,0.868613874
717,,0.122873718,,0.87712628
718,,0.115215578,,0.88478442
719,,0.108315527,,0.891684472
720,,0.102087628,,0.897912371
721,,0.096455311,,0.903544688
722,,0.091350516,,0.908649483
723,,0.086712752,,0.913287247
724,,0.08248825,,0.917511749
725,,0.078629213,,0.921370786
726,,0.075093102,,0.924906897
727,,0.071842062,,0.928157938
728,,0.068842438,,0.931157561
729,,0.06606429,,0.933935709
730,,0.063480993,,0.936519007
731,,0.061068894,,0.938931106
732,,0.058807038,,0.941192962
733,,0.056676916,,0.943323084
734,,0.054662265,,0.945337735
735,,0.052748883,,0.947251117
736,,0.050924488,,0.949075512
737,,0.049178548,,0.950821452
738,,0.047502143,,0.952497857
739,,0.045887865,,0.954112135
740,,0.044329683,,0.955670317
741,,0.042822833,,0.957177167
742,,0.041363678,,0.958636322
743,,0.039949544,,0.960050456
744,,0.038578593,,0.961421407
745,,0.037249682,,0.962750318
746,,0.035962215,,0.964037785
747,,0.034716034,,0.965283966
748,,0.033511299,,0.966488701
749,,0.032348361,,0.967651639
750,,0.03122766,,0.96877234
751,,0.030149628,,0.969850372
752,,0.029114628,,0.970885372
753,,0.028122927,,0.971877073
754,,0.027174643,,0.972825357
755,,0.026269726,,0.973730274
756,,0.025407948,,0.974592052
757,,0.02458889,,0.97541111
758,,0.023811945,,0.976188055
759,,0.02307634,,0.97692366
760,,0.022381156,,0.977618844
761,,0.021725351,,0.978274649
762,,0.021107776,,0.978892224
763,,0.020527183,,0.979472817
764,,0.019982251,,0.980017749
765,,0.019471599,,0.980528401
766,,0.018993804,,0.981006196
767,,0.018547419,,0.981452581
768,,0.018130991,,0.981869009
769,,0.017743059,,0.982256941
770,,0.017382165,,0.982617835
771,,0.017046854,,0.982953146
772,,0.016735676,,0.983264324
773,,0.016447201,,0.983552799
774,,0.016180011,,0.983819989
775,,0.015932714,,0.984067286
776,,0.015703938,,0.984296062
777,,0.015492334,,0.984507666
778,,0.015296569,,0.984703431
779,,0.015115326,,0.984884674
780,,0.014947307,,0.985052693
781,,0.014791229,,0.985208771
782,,0.014645829,,0.985354171
783,,0.014509871,,0.985490129
784,,0.01438214,,0.98561786
785,,0.014261446,,0.985738554
786,,0.014146634,,0.985853366
787,,0.014036577,,0.985963423
788,,0.013930186,,0.986069814
789,,0.013826425,,0.986173575
790,,0.013724315,,0.986275685
791,,0.013622949,,0.986377051
792,,0.013521505,,0.986478495
793,,0.013419251,,0.986580749
794,,0.013315544,,0.986684456
795,,0.013209846,,0.986790154
796,,0.013101718,,0.986898282
797,,0.012990822,,0.987009178
798,,0.012876938,,0.987123062
799,,0.012759954,,0.987240046
800,,0.012639874,,0.987360126
801,,0.012516806,,0.987483194
802,,0.012390966,,0.987609034
803,,0.012262657,,0.987737343
804,,0.012132263,,0.987867737
805,,0.012000241,,0.987999759
806,,0.011867105,,0.988132895
807,,0.011733417,,0.988266583
808,,0.011599779,,0.988400221
809,,0.011466813,,0.988533187
810,,0.011335156,,0.988664844
811,,0.011205444,,0.988794556
812,,0.011078297,,0.988921703
813,,0.010954313,,0.989045687
814,,0.010834069,,0.989165931
815,,0.010718112,,0.989281888
816,,0.010606964,,0.989393036
817,,0.010501119,,0.989498881
818,,0.010401032,,0.989598968
819,,0.010307121,,0.989692879
820,,0.010219769,,0.989780231
821,,0.010139317,,0.989860683
822,,0.010066068,,0.989933932
823,,0.010000297,,0.989999703
824,,0.009942246,,0.990057754
825,,0.00989213,,0.99010787
826,,0.009850133,,0.990149867
827,,0.009816415,,0.990183585
828,,0.009791119,,0.990208881
829,,0.009774362,,0.990225638
830,,0.009766242,,0.990233758
831,,0.009766835,,0.990233165
832,,0.009776192,,0.990223808
833,,0.009794343,,0.990205657
834,,0.009821293,,0.990178707
835,,0.009857027,,0.990142973
836,,0.009901509,,0.990098491
837,,0.009954679,,0.990045321
838,,0.010016446,,0.989983554
839,,0.010086683,,0.989913317
840,,0.010165226,,0.989834774
841,,0.010251864,,0.989748136
842,,0.010346334,,0.989653666
843,,0.010448322,,0.989551678
844,,0.010557452,,0.989442548
845,,0.010673281,,0.989326719
846,,0.010795291,,0.989204709
847,,0.010922889,,0.989077111
848,,0.011055396,,0.988944604
849,,0.01119205,,0.98880795
850,,0.011331996,,0.988668004
851,,0.011474289,,0.988525711
852,,0.011617893,,0.988382107
853,,0.011761686,,0.988238314
854,,0.011904465,,0.988095535
855,,0.012044964,,0.987955036
